,thermalZone.TAir,weaBus.TDryBul,totalHeatingPower.y,weaDat.weaBus.HGloHor
251,19.808,-11.868,89840.0,71.831
252,19.814,-12.131,96066.0,57.195
253,19.842,-12.506,97418.0,43.651
254,19.851,-12.769,96646.0,28.684
255,19.852,-12.943,98042.0,15.553
256,19.864,-13.073,96901.0,9.037
257,19.87,-13.257,81423.0,2.532
258,19.875,-13.415,98298.0,0.118
259,19.87,-13.627,92714.0,0.0
260,19.9,-13.816,96984.0,0.0
261,19.917,-13.998,95827.0,0.0
262,19.922,-14.212,97693.0,0.0
263,19.944,-14.622,97742.0,0.0
264,19.945,-14.939,97552.0,0.0
265,19.962,-14.938,97426.0,0.0
266,19.954,-14.995,97626.0,0.0
267,19.954,-15.007,95953.0,0.0
268,19.96,-15.062,95786.0,0.0
269,19.958,-15.176,94900.0,0.0
270,19.963,-15.224,74193.0,0.0
271,19.95,-15.21,78046.0,0.0
272,19.932,-15.056,95483.0,0.0
273,19.94,-14.866,96125.0,0.0
274,19.961,-14.68,97298.0,0.0
275,19.957,-14.501,92461.0,0.0
276,19.95,-14.385,88776.0,0.0
277,19.885,-14.334,28671.0,0.0
278,19.76,-14.373,11891.0,0.0
279,19.648,-14.454,8557.0,0.0
280,19.575,-14.537,8434.0,0.0
281,19.489,-14.622,10954.0,0.0
282,19.431,-14.671,13248.0,0.0
283,19.421,-14.559,17166.0,0.0
284,19.401,-14.353,31968.0,0.0
285,19.403,-14.281,34670.0,0.0
286,19.434,-14.309,35720.0,0.0
287,19.472,-14.319,35625.0,0.0
288,19.524,-14.277,35445.0,0.0
289,19.525,-14.186,8323.0,0.0
290,19.41,-14.054,8564.0,0.0
291,19.337,-14.017,8668.0,0.0
292,19.247,-14.142,8737.0,0.0
293,19.168,-14.267,8790.0,0.0
294,19.129,-14.132,8804.0,0.0
295,19.041,-14.04,8665.0,0.0
296,18.981,-13.935,8569.0,0.0
297,18.929,-13.825,8600.0,0.0
298,18.887,-13.72,9409.0,0.0
299,18.87,-13.684,9067.0,0.0
300,18.802,-13.594,8622.0,0.0
301,18.764,-13.5,8662.0,0.0
302,18.712,-13.374,8520.0,0.0
303,18.682,-13.207,8836.0,0.0
