,thermalZone.TAir,weaBus.TDryBul,totalHeatingPower.y,weaDat.weaBus.HGloHor
798,20.2454375,-0.425015068965517,4212.66666666667,-3.2043231034482
801,20.113125000000004,-0.503641766666667,4278.66666666667,-3.2383086666666
804,20.0283125,-0.626536172413793,5996.0,-3.16791
807,20.1308125,-0.712827379310345,4903.33333333333,-2.11194
810,20.163312500000004,-0.7777912,4452.0,-2.147139
813,20.118562500000003,-0.82595275862069,5179.33333333333,-2.11194
816,20.1111875,-0.785929266666667,4457.33333333333,-2.11194
819,20.001,-0.7299806,4932.0,-2.11194
822,19.9325,-0.660298833333333,4990.66666666667,-2.11194
825,19.9949375,-0.617591275862069,5952.0,-2.11194
828,20.1005,-0.636007206896552,4508.66666666667,-2.11194
831,19.9965,-0.607594482758621,4542.66666666667,-2.11194
834,19.853625,-0.606893,5987.33333333333,-2.11194
837,19.902625,-0.522355724137931,5292.66666666667,-2.11194
840,19.9575625,-0.457637689655172,5322.66666666667,-2.11194
843,19.966625,-0.399759172413793,4193.33333333333,-2.11194
846,19.8340625,-0.324517586206897,5262.0,-2.11194
849,19.8178125,-0.164037213793103,5442.66666666667,-2.11194
852,19.8698125,0.0448503227586207,4715.33333333333,-2.11194
855,19.8533125,0.215853931034483,5108.66666666667,-2.11194
858,19.8505625,0.296427466666667,5297.33333333333,-2.11194
861,19.823625,0.350025931034483,4425.33333333333,-2.11194
864,19.66,0.446314448275862,5220.66666666667,-2.11194
867,19.608125,0.520223133333333,5660.66666666667,-2.11194
870,19.7166875,0.556808827586207,5748.66666666667,-2.11194
873,19.7968125,0.593114551724138,4196.0,-2.11194
876,19.6275,0.667303793103448,4381.33333333333,-2.11194
879,19.548625,0.745544466666667,6066.66666666667,-2.11194
882,19.678125,0.8960977,5265.33333333333,-2.11194
885,19.7016875,0.956624666666667,4813.33333333333,-2.147139
888,19.643875,1.13667866666667,4736.66666666667,-2.182338
891,19.576875,1.10139172413793,5280.0,-2.1483527586206
894,19.642500000000005,1.32764068965517,4398.0,-2.1483527586206
897,19.636375,1.47970379310345,5481.33333333333,-2.11194
900,19.765625,1.71121448275862,6040.0,-2.11194
903,19.95175,1.89905517241379,3498.0,-2.1483527586206
906,19.8340625,1.98850655172414,4140.0,-2.1847655172413
909,19.764375,2.04795965517241,4012.0,-2.221178275862
912,19.77925,2.17318827586207,5284.0,-2.4032420689655
915,19.893875,2.3178824137931,4442.66666666667,-2.3304165517241
918,19.954625,2.26158413793103,5508.66666666667,-2.1847655172413
921,20.0691875,2.32330066666667,4969.33333333333,-2.217537
924,20.1155,2.52675466666667,1500.0,-2.323134
927,19.8564375,2.40824433333333,4100.0,-2.428731
930,19.765812500000003,2.27631793103448,3977.33333333333,-2.3304165517241
933,19.7254375,2.22843620689655,5835.33333333333,-2.2940037931034
936,19.95025,2.30841034482759,4198.0,-2.5488931034482003
939,20.0615625,2.46047413793103,3979.33333333333,-2.4032420689655
942,20.0050625,2.315675,4396.0,-2.287935
945,19.9441875,2.33787793103448,3487.33333333333,-2.4760675862069
948,19.808750000000003,2.46152724137931,3386.0,-2.11194
951,19.7716875,2.604066,3910.66666666667,0.0
954,19.859375,2.58066866666667,5818.66666666667,3.4495046666666
957,20.128625000000003,2.451476,2836.66666666667,9.362942
960,20.0616875,2.6014875862069,3450.0,17.6602103448276
963,19.941187500000005,2.888894,4761.33333333333,34.9878533333333
966,20.0290625,3.07977172413793,3507.33333333333,52.2887862068966
969,20.0111875,3.56282366666667,3720.66666666667,69.5885366666667
972,19.977375,3.52543310344828,2410.0,76.6489724137931
975,19.8851875,3.839009,4392.66666666667,103.097986666667
978,19.9641875,3.9547824137931,1502.66666666667,54.910517241379296
981,19.8610625,4.14876466666667,1047.33333333333,100.352553333333
984,19.7404375,4.03788066666667,2345.33333333333,89.1239866666667
987,19.780500000000004,4.12526137931034,4619.33333333333,145.796827586207
990,20.009500000000003,4.12282233333333,1426.66666666667,145.759333333333
993,19.966375,4.17051103448276,1721.33333333333,221.863379310345
996,19.9636875,4.41731766666667,2405.33333333333,178.31830000000002
999,19.9860625,4.74182133333333,1605.33333333333,288.491533333333
1002,20.3254375,4.898481,42.6666666666667,373.145133333333
1005,20.476000000000003,5.027163,42.0,377.6859
1008,20.38975,5.063783,1054.66666666667,275.995833333333
